Date,Open,High,Low,Close,Volume
2019-05-03,0.4010,0.4900,0.4010,0.4900,450
2019-05-02,0.5300,0.5300,0.5300,0.5300,0
2019-05-01,0.5300,0.5300,0.5300,0.5300,1863
2019-04-30,0.4300,0.4300,0.4300,0.4300,0
2019-04-29,0.4300,0.4300,0.4300,0.4300,0
2019-04-26,0.4300,0.4300,0.4300,0.4300,1750
2019-04-25,0.5000,0.6500,0.4900,0.5110,42030
2019-04-24,0.3700,0.3700,0.3700,0.3700,0
2019-04-23,0.3700,0.3700,0.3700,0.3700,0
2019-04-22,0.3700,0.3700,0.3700,0.3700,0
2019-04-18,0.3700,0.3700,0.3700,0.3700,5
2019-04-17,0.3700,0.3700,0.3700,0.3700,0
2019-04-15,0.3700,0.3700,0.3700,0.3700,0
2019-04-12,0.3700,0.3700,0.3700,0.3700,1600
2019-04-11,0.3700,0.3700,0.3700,0.3700,0
2019-04-10,0.3700,0.3700,0.3700,0.3700,0
2019-04-09,0.3700,0.3700,0.3700,0.3700,0
2019-04-08,0.3700,0.3700,0.3700,0.3700,0
2019-04-05,0.3700,0.3700,0.3700,0.3700,0
2019-04-04,0.3700,0.3700,0.3700,0.3700,0
2019-04-03,0.3700,0.3700,0.3700,0.3700,0
2019-04-02,0.3700,0.3700,0.3700,0.3700,0
2019-04-01,0.3700,0.3700,0.3700,0.3700,22
2019-03-29,0.3700,0.3700,0.3700,0.3700,2335
2019-03-28,0.5500,0.5500,0.5500,0.5500,0
2019-03-27,0.3110,0.5900,0.2810,0.5500,34469
2019-03-26,0.4044,0.4500,0.4044,0.4500,2300
2019-03-25,0.3600,0.3600,0.3600,0.3600,0
2019-03-22,0.4000,0.4000,0.3600,0.3600,3050
2019-03-21,0.3200,0.3200,0.3000,0.3000,12817
2019-03-20,0.5100,0.5100,0.5100,0.5100,0
2019-03-18,0.5100,0.5100,0.5100,0.5100,0
2019-03-15,0.5100,0.5400,0.5100,0.5100,3000
2019-03-14,0.5300,0.5300,0.5300,0.5300,0
2019-03-13,0.5300,0.5300,0.5300,0.5300,1000
2019-03-12,0.6500,0.6500,0.6500,0.6500,0
2019-03-11,0.6500,0.6500,0.6500,0.6500,0
2019-03-08,0.6500,0.6500,0.6500,0.6500,35
2019-03-07,0.6500,0.6500,0.6500,0.6500,0
2019-03-06,0.6500,0.6500,0.6500,0.6500,400
2019-03-05,0.6500,0.6500,0.6500,0.6500,0
2019-03-04,0.6500,0.6500,0.6500,0.6500,0
2019-03-01,0.6500,0.6500,0.6500,0.6500,0
2019-02-28,0.6500,0.6500,0.6500,0.6500,0
2019-02-27,0.6500,0.6500,0.6500,0.6500,0
2019-02-26,0.6500,0.6500,0.6500,0.6500,0
2019-02-25,0.6500,0.6500,0.6500,0.6500,0
2019-02-20,0.6500,0.6500,0.6500,0.6500,0
2019-02-15,0.6500,0.6500,0.6500,0.6500,0
2019-02-14,0.6500,0.6500,0.6500,0.6500,0
2019-02-13,0.4100,0.6500,0.4100,0.6500,9300
2019-02-12,0.4100,0.4100,0.4100,0.4100,125
2019-02-11,0.4100,0.4100,0.4100,0.4100,0
2019-02-08,0.4100,0.4100,0.4100,0.4100,0
2019-02-07,0.4100,0.4100,0.4100,0.4100,0
2019-02-06,0.4100,0.4100,0.4100,0.4100,125
2019-02-05,0.4100,0.4100,0.4100,0.4100,0
2019-02-04,0.4100,0.4100,0.4100,0.4100,0
2019-02-01,0.4100,0.4100,0.4100,0.4100,0
2019-01-31,0.4100,0.4100,0.4100,0.4100,0
2019-01-30,0.4100,0.4100,0.4100,0.4100,0
2019-01-29,0.4100,0.4100,0.4100,0.4100,0
2019-01-28,0.4100,0.4100,0.4100,0.4100,0
2019-01-25,0.4100,0.4100,0.4100,0.4100,0
2019-01-24,0.4100,0.4100,0.4100,0.4100,0
2019-01-23,0.4100,0.4100,0.4100,0.4100,0
2019-01-22,0.3200,0.4100,0.3200,0.4100,1583
2019-01-18,0.4100,0.4100,0.4000,0.4000,2803
2019-01-17,0.4000,0.4000,0.4000,0.4000,0
2019-01-16,0.4000,0.4000,0.4000,0.4000,55
2019-01-15,0.4000,0.4000,0.4000,0.4000,0
2019-01-14,0.3200,0.4000,0.3200,0.4000,7400
2019-01-11,0.4100,0.4100,0.4100,0.4100,0
2019-01-10,0.4100,0.4100,0.4100,0.4100,0
2019-01-09,0.4100,0.4100,0.4100,0.4100,0
2019-01-08,0.4100,0.4100,0.4100,0.4100,2500
2019-01-07,0.3700,0.3700,0.3620,0.3620,10594
2019-01-04,0.3700,0.3700,0.3700,0.3700,0
2019-01-03,0.3700,0.3700,0.3700,0.3700,0
2018-12-27,0.3700,0.3700,0.3700,0.3700,0
2018-12-26,0.3700,0.3700,0.3700,0.3700,1000
2018-12-24,0.3700,0.3700,0.3700,0.3700,0
2018-12-21,0.3700,0.3700,0.3700,0.3700,0
2018-12-20,0.3700,0.3700,0.3700,0.3700,7808
2018-12-19,0.3700,0.4100,0.3700,0.4100,6000
2018-12-18,0.3700,0.3700,0.3700,0.3700,4000
2018-12-17,0.3700,0.3700,0.3700,0.3700,460
2018-12-14,0.5900,0.5900,0.5900,0.5900,0
2018-12-13,0.5900,0.5900,0.5900,0.5900,0
2018-12-12,0.5900,0.5900,0.5900,0.5900,0
2018-12-11,0.5880,0.5880,0.5880,0.5880,125
2018-12-10,0.5900,0.5900,0.5900,0.5900,0
2018-12-07,0.5900,0.5900,0.5900,0.5900,0
2018-12-04,0.5900,0.5900,0.5900,0.5900,0
2018-12-03,0.5900,0.5900,0.5900,0.5900,0
2018-11-30,0.5900,0.5900,0.5900,0.5900,425
2018-11-29,0.3700,0.3700,0.3700,0.3700,25
2018-11-28,0.3700,0.3700,0.3700,0.3700,0
2018-11-27,0.3700,0.3700,0.3700,0.3700,0
2018-11-26,0.3700,0.3700,0.3700,0.3700,500
2018-11-21,0.3700,0.3700,0.3700,0.3700,0
